id,X,Y,NN
313,29.6976727,-1.5498217,178
314,29.7678678,-2.543928,170
315,29.0056718,-2.3960135,150
316,29.6295287,-1.690703,168
317,29.6671309,-2.5278082,170
318,29.9783796,-1.4992849,218
319,29.9319213,-1.6302095,185
320,29.9378897,-2.4503057,149
321,29.9642288,-1.9567462,156
322,29.8374791,-1.9101928,160
323,29.9106239,-2.0154534,175
324,29.8613372,-2.6860538,154
325,29.8514289,-1.8148016,172
326,29.8255401,-2.4335524,144
327,29.8576185,-1.7666203,183
328,29.6654469,-2.1787214,161
329,30.0773268,-1.5815128,199
330,30.0539351,-1.9020192,133
331,30.2582292,-1.7428493,152
332,30.2964765,-1.8583745,160
333,30.3369254,-1.9470817,165
334,30.0409514,-1.7090221,168
335,29.8414176,-1.4505249,228
336,30.2253675,-2.1877168,141
337,30.0561723,-2.3200474,153
338,30.2251631,-1.3930266,151
339,30.0947849,-1.4650522,190
340,30.0364285,-1.8882029,142
341,30.4298824,-1.9563223,151
342,30.2418461,-1.7821133,183
343,30.1848873,-1.811795,151
344,30.0081468,-1.9022537,168
345,30.432496,-2.1585274,133
346,29.2911129,-2.1814081,169
347,29.1340697,-2.3266553,149
348,30.136615,-1.3826192,179
349,30.326602,-1.2980365,134
350,29.6746634,-1.6829805,158
351,29.6312509,-1.6817829,168
352,29.6377633,-1.5087403,175
353,29.5405278,-1.5633025,231
354,29.5388112,-1.7474097,212
355,29.8470979,-1.8271848,178
356,30.0614214,-1.81484,173
357,30.0581246,-1.9365916,139
358,30.0625645,-1.9347345,144
359,29.2424447,-1.6983026,141
360,30.1034685,-1.9406793,136
361,30.1033451,-1.9404434,150
362,30.1028492,-1.9405214,152
363,30.1033159,-1.9408381,147
364,30.1040925,-1.9391979,134
365,30.1026602,-1.9419402,147
366,29.5694508,-2.186964,166
367,29.5647003,-2.1862559,173
368,29.5733689,-2.189586,164
369,29.5619123,-2.1875271,176
370,29.5652805,-2.1864065,170
371,29.560492,-2.191209,181
372,29.5545988,-2.1877089,179
373,29.557496,-2.1855637,184
374,28.8588596,-2.5419697,165
375,28.8586705,-2.5436181,153
376,28.8591478,-2.5417706,164
377,28.8777906,-2.4971238,160
378,29.7582813,-2.0770602,191
